number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
2,50,15,5,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
1,60,9,4,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,9,10,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,30,8,10,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,40,8,11,Monday,Unclassified,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,30,22,1,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Frost or ice,0,0,Urban,2,1
2,70,7,12,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,11,10,Friday,Unclassified,Single carriageway,T or staggered junction,Automatic traffic signal,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,10,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,70,16,8,Saturday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,1,0
2,30,13,11,Saturday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,12,Tuesday,Unclassified,Single carriageway,T or staggered junction,Automatic traffic signal,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,19,7,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,10,5,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
1,30,16,5,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,15,6,Monday,A,Dual carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,19,6,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,70,10,8,Sunday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,1,0
2,30,0,5,Saturday,Unclassified,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,1
2,40,15,10,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,-1,1
1,60,0,8,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
1,30,10,10,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,21,8,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,60,21,4,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,30,16,3,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine + high winds,Wet or damp,0,0,Urban,2,1
1,30,3,3,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Rural,2,1
2,30,13,3,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
3,70,8,10,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
2,50,11,11,Wednesday,A,Slip road,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,60,4,4,Thursday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
1,60,14,2,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine + high winds,Dry,7,15,Rural,2,0
2,30,9,4,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,17,8,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,7,6,Wednesday,A,Unknown,Data missing / out of range,Unknown,6,99,Daylight,Unknown,Unknown,9,99,Urban,2,1
2,50,17,4,Saturday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,7,12,Monday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,1,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,1
2,60,11,10,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,9,9,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
4,50,12,5,Monday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
4,30,22,7,Thursday,A,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,1
3,20,9,9,Wednesday,A,Single carriageway,T or staggered junction,Automatic traffic signal,6,15,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,19,8,Tuesday,A,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,99,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
9,50,18,10,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,0
2,30,19,12,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,50,18,8,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,20,16,7,Friday,A,One way street,Junction with more than four arms,Automatic traffic signal,5,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,10,4,Thursday,B,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
1,40,16,5,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,6,14,Rural,2,0
1,30,17,3,Monday,A,Single carriageway,T or staggered junction,Stop sign,5,0,Daylight,Other,Dry,4,13,Urban,2,1
2,30,19,8,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,16,11,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,1
2,30,20,12,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,60,9,1,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,0
1,20,22,5,Saturday,Unclassified,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Urban,2,1
2,60,17,12,Thursday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,30,20,11,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,20,22,5,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,7,6,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,6,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,17,12,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,13,5,Tuesday,A,Roundabout,Not at or within 20 metres of junction,Automatic traffic signal,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,7,6,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,5,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,20,12,Saturday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Other,Wet or damp,0,0,Urban,2,1
2,40,11,11,Thursday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
3,30,16,3,Saturday,A,Single carriageway,Crossroads,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,21,8,Friday,Unclassified,Single carriageway,T or staggered junction,Stop sign,4,0,Darkness - lights unlit,Fine no high winds,Dry,0,0,Rural,2,1
1,70,20,3,Wednesday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,1,0
1,30,12,1,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,14,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,15,4,Wednesday,A,Dual carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,6,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,7,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Other,Dry,0,0,Urban,2,1
2,30,14,1,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
1,30,8,10,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,9,5,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,16,8,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
2,20,18,9,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,12,7,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,7,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,8,1,Tuesday,A,Single carriageway,Crossroads,Automatic traffic signal,3,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,12,5,Thursday,Unclassified,Single carriageway,Data missing / out of range,Unknown,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,40,18,5,Tuesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,40,15,5,Monday,A,Dual carriageway,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,15,2,Thursday,A,Dual carriageway,Junction with more than four arms,Automatic traffic signal,5,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,0
1,30,20,8,Thursday,Unclassified,Single carriageway,Other junction,Data missing / out of range,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,1
2,40,18,1,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,0
2,40,17,10,Wednesday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,14,12,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,20,18,2,Saturday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,60,9,7,Thursday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,60,14,10,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,70,20,10,Saturday,A(M),Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,2,0,Darkness - no lighting,Raining no high winds,Wet or damp,0,0,Rural,1,0
1,60,0,6,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,60,16,6,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
1,30,17,11,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Urban,2,1
1,20,14,4,Sunday,A,Single carriageway,Other junction,Give way or uncontrolled,6,12,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,16,6,Thursday,A,Dual carriageway,T or staggered junction,Automatic traffic signal,5,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,17,7,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,5,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,20,2,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,30,9,7,Saturday,C,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,19,5,Thursday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,8,Tuesday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,23,9,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,17,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,20,17,4,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,3,Wednesday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,5,Wednesday,B,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,18,11,Tuesday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,15,8,Saturday,A,Roundabout,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,15,4,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,6,Monday,C,Unknown,Not at or within 20 metres of junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,14,10,Saturday,A,Single carriageway,Other junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,-1,1
2,20,9,12,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,14,11,Tuesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,8,9,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,21,9,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,17,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,5,Tuesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,1
2,30,22,11,Monday,A,One way street,T or staggered junction,Automatic traffic signal,3,15,Darkness - lights unlit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,7,3,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,14,3,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,9,1,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,12,11,Saturday,A,Roundabout,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,20,11,Thursday,A,Unknown,Other junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,7,6,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,-1,Daylight,Fine no high winds,Dry,-1,-1,Rural,2,0
2,70,17,3,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,1,0
1,60,21,10,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
1,50,13,12,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,6,14,Rural,1,0
2,60,10,10,Wednesday,Unclassified,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,60,9,6,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,30,11,7,Friday,B,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,17,1,Wednesday,Unclassified,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,60,17,9,Thursday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights unlit,Fine no high winds,Dry,0,0,Rural,2,0
1,20,15,9,Friday,A,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Other,Dry,9,0,Urban,2,1
2,60,14,4,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,0
1,30,13,6,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,3,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,6,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,21,2,Monday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,11,8,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,13,8,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,23,7,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,70,19,8,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,1,0
2,40,17,12,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Unknown,Dry,0,0,Urban,2,1
2,30,19,4,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,14,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,20,14,7,Monday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,10,2,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,-1,0
2,70,12,9,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,1,0
3,70,16,9,Friday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Other,Dry,0,0,Rural,1,0
2,30,12,5,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,15,5,Tuesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,16,3,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,30,18,11,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,12,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,20,14,1,Monday,C,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,13,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,16,10,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,11,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,6,Wednesday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Unknown,Unknown,0,0,Urban,2,1
3,30,5,7,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,19,7,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,70,21,3,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Raining + high winds,Flood over 3cm deep,0,0,Urban,-1,0
2,70,8,12,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,0
2,20,14,4,Monday,A,One way street,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,10,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,11,3,Monday,A,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
4,30,16,11,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,30,15,11,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Other,Dry,0,0,Rural,-1,1
1,30,19,2,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,20,18,8,Thursday,Unclassified,Unknown,Crossroads,Give way or uncontrolled,6,99,Daylight,Unknown,Unknown,9,99,Urban,2,1
1,20,12,4,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,6,Sunday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,21,4,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,30,23,6,Tuesday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,18,8,Tuesday,Unclassified,Single carriageway,Data missing / out of range,Unknown,6,99,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,20,7,Tuesday,C,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Other,Dry,0,0,Urban,2,1
1,30,15,6,Friday,A,Unknown,Crossroads,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Dry,0,0,Urban,2,1
1,30,19,3,Wednesday,Unclassified,Dual carriageway,Crossroads,Automatic traffic signal,6,15,Darkness - lights lit,Raining + high winds,Wet or damp,0,0,Urban,-1,1
2,30,15,5,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
