number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
2,30,18,1,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,14,Darkness - lights lit,Raining no high winds,Wet or damp,-1,0,Urban,2,1
2,30,11,9,Tuesday,Unclassified,Single carriageway,Unknown,Unknown,6,-1,Daylight,Fine no high winds,Dry,-1,-1,Urban,2,1
1,70,3,6,Friday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Raining no high winds,Wet or damp,-1,0,Rural,1,0
1,30,19,7,Thursday,Unclassified,Single carriageway,Junction with more than four arms,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,9,4,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,30,4,3,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Darkness - no lighting,Fog or mist,Wet or damp,-1,0,Rural,2,1
3,70,14,2,Friday,A,Roundabout,Data missing / out of range,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
1,20,15,6,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,1
1,60,20,1,Tuesday,B,Single carriageway,Crossroads,Give way or uncontrolled,4,0,Darkness - no lighting,Snowing no high winds,Frost or ice,-1,21,Rural,2,0
2,30,13,6,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,20,15,7,Sunday,A,Dual carriageway,T or staggered junction,Automatic traffic signal,5,13,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,50,8,11,Tuesday,A,Single carriageway,Crossroads,Give way or uncontrolled,5,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
2,50,14,4,Saturday,A,Slip road,Other junction,Automatic traffic signal,3,0,Daylight,Other,Dry,-1,0,Urban,2,1
2,30,17,5,Thursday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,1
2,40,8,8,Friday,A,Dual carriageway,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,15,3,Wednesday,Unclassified,Roundabout,Data missing / out of range,Give way or uncontrolled,6,-1,Daylight,Unknown,Unknown,-1,-1,Urban,2,1
2,40,17,8,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,30,6,10,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Darkness - no lighting,Raining + high winds,Wet or damp,-1,0,Rural,2,1
1,60,14,8,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
1,30,13,1,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,70,7,8,Wednesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Rural,1,0
2,30,9,12,Wednesday,Unclassified,Roundabout,Data missing / out of range,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Wet or damp,-1,0,Urban,2,1
1,30,8,11,Monday,Unclassified,Single carriageway,Unknown,Unknown,6,-1,Daylight,Fine no high winds,Dry,-1,-1,Urban,2,1
